,Equipes,Pts,Matchs joués,Gagnés,Nuls,Perdus,Journée,Season
0,LOU Rugby,5,1,1,0,0,J1,2019-2020
1,RC Toulon,5,1,1,0,0,J1,2019-2020
2,Section Paloise,4,1,1,0,0,J1,2019-2020
3,ASM Clermont,4,1,1,0,0,J1,2019-2020
4,Aviron Bayonnais,4,1,1,0,0,J1,2019-2020
5,Union Bordeaux-Bègles,4,1,1,0,0,J1,2019-2020
6,Castres Olympique,4,1,1,0,0,J1,2019-2020
7,Montpellier Hérault Rugby,1,1,0,0,1,J1,2019-2020
8,Stade Toulousain,1,1,0,0,1,J1,2019-2020
9,Racing 92,0,1,0,0,1,J1,2019-2020
10,Stade Rochelais,0,1,0,0,1,J1,2019-2020
11,CA Brive,0,1,0,0,1,J1,2019-2020
12,SU Agen,0,1,0,0,1,J1,2019-2020
13,Stade Français Paris,0,1,0,0,1,J1,2019-2020
0,LOU Rugby,9,2,2,0,0,J2,2019-2020
1,Union Bordeaux-Bègles,9,2,2,0,0,J2,2019-2020
2,ASM Clermont,8,2,2,0,0,J2,2019-2020
3,Montpellier Hérault Rugby,6,2,1,0,1,J2,2019-2020
4,Aviron Bayonnais,5,2,1,0,1,J2,2019-2020
5,RC Toulon,5,2,1,0,1,J2,2019-2020
6,Racing 92,4,2,1,0,1,J2,2019-2020
7,Castres Olympique,4,2,1,0,1,J2,2019-2020
8,Section Paloise,4,2,1,0,1,J2,2019-2020
9,SU Agen,4,2,1,0,1,J2,2019-2020
10,Stade Rochelais,4,2,1,0,1,J2,2019-2020
11,Stade Toulousain,1,2,0,0,2,J2,2019-2020
12,Stade Français Paris,1,2,0,0,2,J2,2019-2020
13,CA Brive,0,2,0,0,2,J2,2019-2020
0,LOU Rugby,13,3,3,0,0,J3,2019-2020
1,Union Bordeaux-Bègles,13,3,3,0,0,J3,2019-2020
2,Montpellier Hérault Rugby,10,3,2,0,1,J3,2019-2020
3,ASM Clermont,8,3,2,0,1,J3,2019-2020
4,Section Paloise,8,3,2,0,1,J3,2019-2020
5,Racing 92,5,3,1,0,2,J3,2019-2020
6,Aviron Bayonnais,5,3,1,0,2,J3,2019-2020
7,Stade Toulousain,5,3,1,0,2,J3,2019-2020
8,Stade Français Paris,5,3,1,0,2,J3,2019-2020
9,Castres Olympique,5,3,1,0,2,J3,2019-2020
10,RC Toulon,5,3,1,0,2,J3,2019-2020
11,SU Agen,4,3,1,0,2,J3,2019-2020
12,CA Brive,4,3,1,0,2,J3,2019-2020
13,Stade Rochelais,4,3,1,0,2,J3,2019-2020
0,LOU Rugby,18,4,4,0,0,J4,2019-2020
1,Union Bordeaux-Bègles,18,4,4,0,0,J4,2019-2020
2,Section Paloise,12,4,3,0,1,J4,2019-2020
3,Montpellier Hérault Rugby,10,4,2,0,2,J4,2019-2020
4,Aviron Bayonnais,9,4,2,0,2,J4,2019-2020
5,RC Toulon,9,4,2,0,2,J4,2019-2020
6,ASM Clermont,8,4,2,0,2,J4,2019-2020
7,Stade Rochelais,8,4,2,0,2,J4,2019-2020
8,SU Agen,8,4,2,0,2,J4,2019-2020
9,Racing 92,6,4,1,0,3,J4,2019-2020
10,Castres Olympique,5,4,1,0,3,J4,2019-2020
11,Stade Toulousain,5,4,1,0,3,J4,2019-2020
12,Stade Français Paris,5,4,1,0,3,J4,2019-2020
13,CA Brive,4,4,1,0,3,J4,2019-2020
0,LOU Rugby,22,5,5,0,0,J5,2019-2020
1,Union Bordeaux-Bègles,20,5,4,1,0,J5,2019-2020
2,Section Paloise,13,5,3,0,2,J5,2019-2020
3,Aviron Bayonnais,13,5,3,0,2,J5,2019-2020
4,ASM Clermont,12,5,3,0,2,J5,2019-2020
5,Montpellier Hérault Rugby,12,5,2,1,2,J5,2019-2020
6,RC Toulon,9,5,2,0,3,J5,2019-2020
7,Stade Rochelais,9,5,2,0,3,J5,2019-2020
8,Castres Olympique,9,5,2,0,3,J5,2019-2020
9,SU Agen,9,5,2,0,3,J5,2019-2020
10,Stade Toulousain,9,5,2,0,3,J5,2019-2020
11,CA Brive,8,5,2,0,3,J5,2019-2020
12,Racing 92,6,5,1,0,4,J5,2019-2020
13,Stade Français Paris,5,5,1,0,4,J5,2019-2020
0,LOU Rugby,26,6,6,0,0,J6,2019-2020
1,Union Bordeaux-Bègles,21,6,4,1,1,J6,2019-2020
2,Aviron Bayonnais,17,6,4,0,2,J6,2019-2020
3,ASM Clermont,16,6,4,0,2,J6,2019-2020
4,Castres Olympique,14,6,3,0,3,J6,2019-2020
5,Section Paloise,13,6,3,0,3,J6,2019-2020
6,RC Toulon,13,6,3,0,3,J6,2019-2020
7,Montpellier Hérault Rugby,12,6,2,1,3,J6,2019-2020
8,CA Brive,12,6,3,0,3,J6,2019-2020
9,Racing 92,11,6,2,0,4,J6,2019-2020
10,SU Agen,10,6,2,0,4,J6,2019-2020
11,Stade Rochelais,9,6,2,0,4,J6,2019-2020
12,Stade Toulousain,9,6,2,0,4,J6,2019-2020
13,Stade Français Paris,5,6,1,0,5,J6,2019-2020
0,LOU Rugby,30,7,7,0,0,J7,2019-2020
1,Union Bordeaux-Bègles,26,7,5,1,1,J7,2019-2020
2,Aviron Bayonnais,21,7,5,0,2,J7,2019-2020
3,ASM Clermont,16,7,4,0,3,J7,2019-2020
4,Stade Toulousain,14,7,3,0,4,J7,2019-2020
5,Stade Rochelais,14,7,3,0,4,J7,2019-2020
6,RC Toulon,14,7,3,0,4,J7,2019-2020
7,Castres Olympique,14,7,3,0,4,J7,2019-2020
8,Racing 92,13,7,2,1,4,J7,2019-2020
9,Montpellier Hérault Rugby,13,7,2,1,4,J7,2019-2020
10,Section Paloise,13,7,3,0,4,J7,2019-2020
11,SU Agen,12,7,2,1,4,J7,2019-2020
12,CA Brive,12,7,3,0,4,J7,2019-2020
13,Stade Français Paris,9,7,2,0,5,J7,2019-2020
0,LOU Rugby,30,8,7,0,1,J8,2019-2020
1,Union Bordeaux-Bègles,26,8,5,1,2,J8,2019-2020
2,Aviron Bayonnais,21,8,5,0,3,J8,2019-2020
3,ASM Clermont,20,8,5,0,3,J8,2019-2020
4,RC Toulon,18,8,4,0,4,J8,2019-2020
5,Stade Rochelais,18,8,4,0,4,J8,2019-2020
6,Montpellier Hérault Rugby,17,8,3,1,4,J8,2019-2020
7,Section Paloise,17,8,4,0,4,J8,2019-2020
8,CA Brive,17,8,4,0,4,J8,2019-2020
9,SU Agen,16,8,3,1,4,J8,2019-2020
10,Stade Toulousain,14,8,3,0,5,J8,2019-2020
11,Castres Olympique,14,8,3,0,5,J8,2019-2020
12,Racing 92,13,8,2,1,5,J8,2019-2020
13,Stade Français Paris,9,8,2,0,6,J8,2019-2020
0,LOU Rugby,35,9,8,0,1,J9,2019-2020
1,Union Bordeaux-Bègles,30,9,6,1,2,J9,2019-2020
2,Section Paloise,21,9,5,0,4,J9,2019-2020
3,Aviron Bayonnais,21,9,5,0,4,J9,2019-2020
4,RC Toulon,20,9,4,1,4,J9,2019-2020
5,ASM Clermont,20,9,5,0,4,J9,2019-2020
6,Montpellier Hérault Rugby,19,9,3,2,4,J9,2019-2020
7,Stade Toulousain,19,9,4,0,5,J9,2019-2020
8,Stade Rochelais,18,9,4,0,5,J9,2019-2020
9,Racing 92,18,9,3,1,5,J9,2019-2020
10,Castres Olympique,18,9,4,0,5,J9,2019-2020
11,CA Brive,18,9,4,0,5,J9,2019-2020
12,SU Agen,16,9,3,1,5,J9,2019-2020
13,Stade Français Paris,9,9,2,0,7,J9,2019-2020
0,LOU Rugby,35,10,8,0,2,J10,2019-2020
1,Union Bordeaux-Bègles,34,10,7,1,2,J10,2019-2020
2,Montpellier Hérault Rugby,24,10,4,2,4,J10,2019-2020
3,Stade Toulousain,24,10,5,0,5,J10,2019-2020
4,ASM Clermont,24,10,6,0,4,J10,2019-2020
5,RC Toulon,24,10,5,1,4,J10,2019-2020
6,Stade Rochelais,22,10,5,0,5,J10,2019-2020
7,CA Brive,22,10,5,0,5,J10,2019-2020
8,Section Paloise,21,10,5,0,5,J10,2019-2020
9,Aviron Bayonnais,21,10,5,0,5,J10,2019-2020
10,Racing 92,19,10,3,1,6,J10,2019-2020
11,Castres Olympique,18,10,4,0,6,J10,2019-2020
12,SU Agen,16,10,3,1,6,J10,2019-2020
13,Stade Français Paris,10,10,2,0,8,J10,2019-2020
0,Union Bordeaux-Bègles,38,11,8,1,2,J11,2019-2020
1,LOU Rugby,35,11,8,0,3,J11,2019-2020
2,RC Toulon,29,11,6,1,4,J11,2019-2020
3,Stade Toulousain,28,11,6,0,5,J11,2019-2020
4,Montpellier Hérault Rugby,25,11,4,2,5,J11,2019-2020
5,CA Brive,24,11,5,1,5,J11,2019-2020
6,ASM Clermont,24,11,6,0,5,J11,2019-2020
7,Aviron Bayonnais,23,11,5,1,5,J11,2019-2020
8,Stade Rochelais,23,11,5,0,6,J11,2019-2020
9,Racing 92,23,11,4,1,6,J11,2019-2020
10,Castres Olympique,23,11,5,0,6,J11,2019-2020
11,Section Paloise,22,11,5,0,6,J11,2019-2020
12,SU Agen,17,11,3,1,7,J11,2019-2020
13,Stade Français Paris,14,11,3,0,8,J11,2019-2020
0,Union Bordeaux-Bègles,42,12,9,1,2,J12,2019-2020
1,LOU Rugby,40,12,9,0,3,J12,2019-2020
2,RC Toulon,31,12,6,2,4,J12,2019-2020
3,Stade Toulousain,30,12,6,1,5,J12,2019-2020
4,Stade Rochelais,28,12,6,0,6,J12,2019-2020
5,ASM Clermont,28,12,7,0,5,J12,2019-2020
6,Racing 92,28,12,5,1,6,J12,2019-2020
7,Montpellier Hérault Rugby,27,12,4,3,5,J12,2019-2020
8,CA Brive,24,12,5,1,6,J12,2019-2020
9,Section Paloise,23,12,5,0,7,J12,2019-2020
10,Aviron Bayonnais,23,12,5,1,6,J12,2019-2020
11,Castres Olympique,23,12,5,0,7,J12,2019-2020
