,date,heure,domicile,extérieur
0,07/09/2024,14:30,Bayonne,Perpignan
1,07/09/2024,16:30,Clermont,Pau
2,07/09/2024,16:30,Castres,Racing 92
3,07/09/2024,16:30,Montpellier,Lyon
4,07/09/2024,21:05,Bordeaux-Bègles,Stade Français
5,08/09/2024,17:00,La Rochelle,Toulon
6,08/09/2024,21:05,Vannes,Stade Toulousain
7,14/09/2024,14:30,Toulon,Castres
8,14/09/2024,14:30,Stade Français,Vannes
9,14/09/2024,16:30,Racing 92,Clermont
10,14/09/2024,16:30,Pau,Bayonne
11,14/09/2024,16:30,Perpignan,Montpellier
12,14/09/2024,21:05,Lyon,Bordeaux-Bègles
13,15/09/2024,21:05,Stade Toulousain,La Rochelle
14,21/09/2024,14:30,Montpellier,Stade Toulousain
15,21/09/2024,16:30,Clermont,Bayonne
16,21/09/2024,16:30,Castres,Perpignan
17,21/09/2024,16:30,Vannes,Lyon
18,21/09/2024,16:30,La Rochelle,Pau
19,21/09/2024,21:05,Bordeaux-Bègles,Racing 92
20,22/09/2024,21:05,Stade Français,Toulon
21,28/09/2024,14:30,Perpignan,Clermont
22,28/09/2024,16:30,Bayonne,Montpellier
23,28/09/2024,16:30,Lyon,Castres
24,28/09/2024,16:30,Racing 92,La Rochelle
25,28/09/2024,16:30,Toulon,Vannes
26,28/09/2024,21:05,Pau,Stade Français
27,29/09/2024,21:05,Stade Toulousain,Bordeaux-Bègles
28,05/10/2024,14:30,Vannes,Racing 92
29,05/10/2024,16:30,Stade Français,Montpellier
30,05/10/2024,16:30,La Rochelle,Lyon
31,05/10/2024,16:30,Bordeaux-Bègles,Bayonne
32,05/10/2024,16:30,Perpignan,Pau
33,05/10/2024,21:05,Castres,Stade Toulousain
34,06/10/2024,21:05,Clermont,Toulon
35,12/10/2024,14:30,Racing 92,Toulon
36,12/10/2024,16:30,Bayonne,La Rochelle
37,12/10/2024,16:30,Montpellier,Vannes
38,12/10/2024,16:30,Pau,Castres
39,12/10/2024,16:30,Bordeaux-Bègles,Perpignan
40,12/10/2024,21:05,Stade Toulousain,Clermont
41,13/10/2024,21:05,Lyon,Stade Français
42,19/10/2024,14:30,Bayonne,Racing 92
43,19/10/2024,16:30,Clermont,Vannes
44,19/10/2024,16:30,Castres,Stade Français
45,19/10/2024,16:30,Toulon,Montpellier
46,19/10/2024,16:30,Perpignan,Lyon
47,19/10/2024,21:05,Pau,Stade Toulousain
48,20/10/2024,21:05,La Rochelle,Bordeaux-Bègles
49,26/10/2024,14:30,Bordeaux-Bègles,Pau
50,26/10/2024,16:30,Lyon,Bayonne
51,26/10/2024,16:30,Montpellier,La Rochelle
52,26/10/2024,16:30,Racing 92,Perpignan
53,26/10/2024,16:30,Vannes,Castres
54,26/10/2024,21:05,Stade Français,Clermont
55,27/10/2024,21:05,Stade Toulousain,Toulon
56,02/11/2024,14:30,Clermont,Bordeaux-Bègles
57,02/11/2024,16:30,Castres,Montpellier
58,02/11/2024,16:30,Toulon,Lyon
59,02/11/2024,16:30,Pau,Racing 92
60,02/11/2024,16:30,Perpignan,Vannes
61,02/11/2024,21:05,La Rochelle,Stade Français
62,03/11/2024,21:05,Bayonne,Stade Toulousain
63,23/11/2024,14:30,Toulon,Bayonne
64,23/11/2024,16:30,Castres,La Rochelle
65,23/11/2024,16:30,Lyon,Clermont
66,23/11/2024,16:30,Montpellier,Pau
67,23/11/2024,16:30,Stade Toulousain,Perpignan
68,23/11/2024,21:05,Vannes,Bordeaux-Bègles
69,24/11/2024,21:05,Stade Français,Racing 92
70,30/11/2024,14:30,Racing 92,Stade Toulousain
71,30/11/2024,16:30,Clermont,Castres
72,30/11/2024,16:30,Pau,Lyon
73,30/11/2024,16:30,La Rochelle,Vannes
74,30/11/2024,16:30,Bordeaux-Bègles,Montpellier
75,30/11/2024,21:05,Perpignan,Toulon
76,01/12/2024,21:05,Bayonne,Stade Français
77,21/12/2024,14:30,La Rochelle,Clermont
78,21/12/2024,16:30,Montpellier,Racing 92
79,21/12/2024,16:30,Toulon,Pau
80,21/12/2024,16:30,Vannes,Bayonne
81,21/12/2024,16:30,Stade Français,Perpignan
82,21/12/2024,21:05,Castres,Bordeaux-Bègles
83,22/12/2024,21:05,Lyon,Stade Toulousain
84,28/12/2024,14:00,Pau,Vannes
85,28/12/2024,16:00,Bayonne,Castres
86,28/12/2024,18:00,Clermont,Montpellier
87,28/12/2024,21:05,Bordeaux-Bègles,Toulon
88,29/12/2024,16:00,Racing 92,Lyon
