,RANK,CATEGORY,NAME
0,1,Meilleurs réalisateurs,J.SIMMONDS
1,2,Meilleurs réalisateurs,Léo BERDEU
2,3,Meilleurs réalisateurs,Maxime LAFAGE
0,1,Meilleurs marqueurs d'essais,G.DREAN
1,2,Meilleurs marqueurs d'essais,Sireli MAQALA
2,3,Meilleurs marqueurs d'essais,Baptiste COUILLOUD
0,1,Meilleurs marqueurs de drops,J.SIMMONDS
1,2,Meilleurs marqueurs de drops,Maxime LAFAGE
2,3,Meilleurs marqueurs de drops,Louis CARBONEL
0,1,Meilleurs taux de transformation,J.MALLIA
1,2,Meilleurs taux de transformation,Maxime LUCU
2,3,Meilleurs taux de transformation,Thibault DAUBAGNA
0,1,Plus de temps de jeu,F.GORRISSEN
1,2,Plus de temps de jeu,Joe SIMMONDS
2,3,Plus de temps de jeu,Thomas CEYTE
0,1,Moyene de points par match la plus haute,T.RAMOS
1,2,Moyene de points par match la plus haute,Nolann LE GARREC
2,3,Moyene de points par match la plus haute,Léo BERDEU
0,1,Nombre de cartons,C.WOKI
1,2,Nombre de cartons,Apisai NAQALEVU
2,3,Nombre de cartons,Levan CHILACHAVA
