,Equipes,Pts,Matchs joués,Gagnés,Nuls,Perdus,Journée,Season,ID_equipes
0,LOU Rugby,5,1,1,0,0,J1,2019-2020,1
1,RC Toulon,5,1,1,0,0,J1,2019-2020,2
2,Section Paloise,4,1,1,0,0,J1,2019-2020,3
3,ASM Clermont,4,1,1,0,0,J1,2019-2020,4
4,Aviron Bayonnais,4,1,1,0,0,J1,2019-2020,5
5,Union Bordeaux-Bègles,4,1,1,0,0,J1,2019-2020,6
6,Castres Olympique,4,1,1,0,0,J1,2019-2020,7
7,Montpellier Hérault Rugby,1,1,0,0,1,J1,2019-2020,8
8,Stade Toulousain,1,1,0,0,1,J1,2019-2020,9
9,Racing 92,0,1,0,0,1,J1,2019-2020,10
10,Stade Rochelais,0,1,0,0,1,J1,2019-2020,11
11,CA Brive,0,1,0,0,1,J1,2019-2020,12
12,SU Agen,0,1,0,0,1,J1,2019-2020,13
13,Stade Français Paris,0,1,0,0,1,J1,2019-2020,14
0,LOU Rugby,9,2,2,0,0,J2,2019-2020,1
1,Union Bordeaux-Bègles,9,2,2,0,0,J2,2019-2020,6
2,ASM Clermont,8,2,2,0,0,J2,2019-2020,4
3,Montpellier Hérault Rugby,6,2,1,0,1,J2,2019-2020,8
4,Aviron Bayonnais,5,2,1,0,1,J2,2019-2020,5
5,RC Toulon,5,2,1,0,1,J2,2019-2020,2
6,Racing 92,4,2,1,0,1,J2,2019-2020,10
7,Castres Olympique,4,2,1,0,1,J2,2019-2020,7
8,Section Paloise,4,2,1,0,1,J2,2019-2020,3
9,SU Agen,4,2,1,0,1,J2,2019-2020,13
10,Stade Rochelais,4,2,1,0,1,J2,2019-2020,11
11,Stade Toulousain,1,2,0,0,2,J2,2019-2020,9
12,Stade Français Paris,1,2,0,0,2,J2,2019-2020,14
13,CA Brive,0,2,0,0,2,J2,2019-2020,12
0,LOU Rugby,13,3,3,0,0,J3,2019-2020,1
1,Union Bordeaux-Bègles,13,3,3,0,0,J3,2019-2020,6
2,Montpellier Hérault Rugby,10,3,2,0,1,J3,2019-2020,8
3,ASM Clermont,8,3,2,0,1,J3,2019-2020,4
4,Section Paloise,8,3,2,0,1,J3,2019-2020,3
5,Racing 92,5,3,1,0,2,J3,2019-2020,10
6,Aviron Bayonnais,5,3,1,0,2,J3,2019-2020,5
7,Stade Toulousain,5,3,1,0,2,J3,2019-2020,9
8,Stade Français Paris,5,3,1,0,2,J3,2019-2020,14
9,Castres Olympique,5,3,1,0,2,J3,2019-2020,7
10,RC Toulon,5,3,1,0,2,J3,2019-2020,2
11,SU Agen,4,3,1,0,2,J3,2019-2020,13
12,CA Brive,4,3,1,0,2,J3,2019-2020,12
13,Stade Rochelais,4,3,1,0,2,J3,2019-2020,11
0,LOU Rugby,18,4,4,0,0,J4,2019-2020,1
1,Union Bordeaux-Bègles,18,4,4,0,0,J4,2019-2020,6
2,Section Paloise,12,4,3,0,1,J4,2019-2020,3
3,Montpellier Hérault Rugby,10,4,2,0,2,J4,2019-2020,8
4,Aviron Bayonnais,9,4,2,0,2,J4,2019-2020,5
5,RC Toulon,9,4,2,0,2,J4,2019-2020,2
6,ASM Clermont,8,4,2,0,2,J4,2019-2020,4
7,Stade Rochelais,8,4,2,0,2,J4,2019-2020,11
8,SU Agen,8,4,2,0,2,J4,2019-2020,13
9,Racing 92,6,4,1,0,3,J4,2019-2020,10
10,Castres Olympique,5,4,1,0,3,J4,2019-2020,7
11,Stade Toulousain,5,4,1,0,3,J4,2019-2020,9
12,Stade Français Paris,5,4,1,0,3,J4,2019-2020,14
13,CA Brive,4,4,1,0,3,J4,2019-2020,12
0,LOU Rugby,22,5,5,0,0,J5,2019-2020,1
1,Union Bordeaux-Bègles,20,5,4,1,0,J5,2019-2020,6
2,Section Paloise,13,5,3,0,2,J5,2019-2020,3
3,Aviron Bayonnais,13,5,3,0,2,J5,2019-2020,5
4,ASM Clermont,12,5,3,0,2,J5,2019-2020,4
5,Montpellier Hérault Rugby,12,5,2,1,2,J5,2019-2020,8
6,RC Toulon,9,5,2,0,3,J5,2019-2020,2
7,Stade Rochelais,9,5,2,0,3,J5,2019-2020,11
8,Castres Olympique,9,5,2,0,3,J5,2019-2020,7
9,SU Agen,9,5,2,0,3,J5,2019-2020,13
10,Stade Toulousain,9,5,2,0,3,J5,2019-2020,9
11,CA Brive,8,5,2,0,3,J5,2019-2020,12
12,Racing 92,6,5,1,0,4,J5,2019-2020,10
13,Stade Français Paris,5,5,1,0,4,J5,2019-2020,14
0,LOU Rugby,26,6,6,0,0,J6,2019-2020,1
1,Union Bordeaux-Bègles,21,6,4,1,1,J6,2019-2020,6
2,Aviron Bayonnais,17,6,4,0,2,J6,2019-2020,5
3,ASM Clermont,16,6,4,0,2,J6,2019-2020,4
4,Castres Olympique,14,6,3,0,3,J6,2019-2020,7
5,Section Paloise,13,6,3,0,3,J6,2019-2020,3
6,RC Toulon,13,6,3,0,3,J6,2019-2020,2
7,Montpellier Hérault Rugby,12,6,2,1,3,J6,2019-2020,8
8,CA Brive,12,6,3,0,3,J6,2019-2020,12
9,Racing 92,11,6,2,0,4,J6,2019-2020,10
10,SU Agen,10,6,2,0,4,J6,2019-2020,13
11,Stade Rochelais,9,6,2,0,4,J6,2019-2020,11
12,Stade Toulousain,9,6,2,0,4,J6,2019-2020,9
