,Nom,Poste,Stats,Equipe,Age,Taille (m),Poids (kg),ID_equipes
0,Pita Ahki,Inside Centre,"['Sep 24, 1992', '1.89m', '96kg']",Stade Toulousain,33,1.89,96,9
1,David Ainu'u,Loosehead Prop,"['Nov 20, 1999', '1.78m', '125kg']",Stade Toulousain,26,1.78,125,9
4,Dorian Aldegheri,Tighthead Prop,"['Aug 4, 1993', '1.80m', '119kg']",Stade Toulousain,32,1.80,119,9
5,Richie Arnold,No 5 Lock,"['Jul 1, 1990', '2.08m', '127kg']",Stade Toulousain,35,2.08,127,9
6,Paul Ausset,No. 8,"['Jun 19, 1999', '1.90m', '100kg']",Stade Toulousain,26,1.90,100,9
7,Cyril Baille,Loosehead Prop,"['Sep 15, 1993', '1.82m', '116kg']",Stade Toulousain,32,1.82,116,9
8,Leo Banos,Openside Flanker,"['Aug 16, 2002', '1.91m', '112kg']",Stade Toulousain,23,1.91,112,9
9,Pierre-Louis Barassi,Outside Centre,"['Apr 22, 1998', '1.87m', '102kg']",Stade Toulousain,27,1.87,102,9
11,Setareki Bituniyata,Outside Centre,"['Aug 12, 1995', '1.94m', '112kg']",Stade Toulousain,30,1.94,112,9
12,Arthur Bonneval,Left Wing,"['May 31, 1995', '1.82m', '88kg']",Stade Toulousain,30,1.82,88,9
13,Jean Bouilhou,Assistant Coach,"['Dec 1, 1978', '1.93m', '100kg']",Stade Toulousain,47,1.93,100,9
14,Joshua Brennan,No 5 Lock,"['Nov 28, 2001', '1.99m', '114kg']",Stade Toulousain,24,1.99,114,9
15,Ange Capuozzo,Fullback,"['Apr 30, 1999', '1.77m', '82kg']",Stade Toulousain,26,1.77,82,9
16,Mathis Castro Ferreira,Left Wing,"['Jan 13, 2004', '1.92m', '105kg']",Stade Toulousain,21,1.92,105,9
17,Santiago Chocobares,Outside Centre,"['Mar 31, 1999', '1.88m', '96kg']",Stade Toulousain,26,1.88,96,9
18,Paul Costes,Inside Centre,"['Apr 4, 2003', '1.82m', '85kg']",Stade Toulousain,22,1.82,85,9
19,Guillaume Cramont,Hooker,"['Dec 29, 2000', '1.82m', '97kg']",Stade Toulousain,25,1.82,97,9
20,Francois Cros,Blindside Flanker,"['Mar 25, 1994', '1.90m', '107kg']",Stade Toulousain,31,1.90,107,9
21,Simon Daroque,Scrum Half,"['Jun 8, 2005', '1.75m', '74kg']",Stade Toulousain,20,1.75,74,9
22,Dimitri Delibes,Inside Centre,"['Mar 17, 1999', '1.90m', '94kg']",Stade Toulousain,26,1.90,94,9
24,Antoine Dupont,Scrum Half,"['Nov 15, 1996', '1.74m', '85kg']",Stade Toulousain,29,1.74,85,9
25,Efrain Elias,No 5 Lock,"['Apr 30, 2004', '2.01m', '113kg']",Stade Toulousain,21,2.01,113,9
26,Nelson Epee,Left Wing,"['Feb 20, 2001', '1.74m', '73kg']",Stade Toulousain,24,1.74,73,9
27,Thibaud Flament,Blindside Flanker,"['Apr 29, 1997', '2.03m', '116kg']",Stade Toulousain,28,2.03,116,9
28,Kalvin Gourgues,Inside Centre,"['Mar 27, 2005', '1.84m', '93kg']",Stade Toulousain,20,1.84,93,9
29,Paul Graou,Scrum Half,"['Jul 25, 1997', '1.77m', '90kg']",Stade Toulousain,28,1.77,90,9
30,Malachi Hawkes,Tighthead Prop,"['Dec 6, 2002', '1.79m', '123kg']",Stade Toulousain,23,1.79,123,9
31,Theo Idjellidaine,Scrum Half,"['Mar 15, 2001', '1.68m', '79kg']",Stade Toulousain,24,1.68,79,9
32,Anthony Jelonch,No. 8,"['Jul 28, 1996', '1.93m', '105kg']",Stade Toulousain,29,1.93,105,9
33,Lomig Jouanny,Inside Centre,"['May 25, 2004', '1.93m', '87kg']",Stade Toulousain,21,1.93,87,9
34,Jerome Kaino,Coach,"['Apr 6, 1983', '1.96m', '106kg']",Stade Toulousain,42,1.96,106,9
35,Blair Kinghorn,Fullback,"['Jan 18, 1997', '1.93m', '107kg']",Stade Toulousain,28,1.93,107,9
37,Thomas Lacombre,Hooker,"['Jul 14, 2004', '1.74m', '90kg']",Stade Toulousain,21,1.74,90,9
38,Nepo Laulala,Tighthead Prop,"['Nov 6, 1991', '1.84m', '133kg']",Stade Toulousain,34,1.84,133,9
39,Matthis Lebel,Right Wing,"['Mar 25, 1999', '1.84m', '84kg']",Stade Toulousain,26,1.84,84,9
42,Paul Mallez,Tighthead Prop,"['Jan 24, 2001', '1.80m', '116kg']",Stade Toulousain,24,1.80,116,9
43,Juan Cruz Mallia,Outside Centre,"['Sep 11, 1996', '1.82m', '92kg']",Stade Toulousain,29,1.82,92,9
44,Julien Marchand,Hooker,"['Oct 5, 1995', '1.81m', '108kg']",Stade Toulousain,30,1.81,108,9
46,Peato Mauvaka,Hooker,"['Jan 10, 1997', '1.84m', '124kg']",Stade Toulousain,28,1.84,124,9
47,Emmanuel Meafou,No 5 Lock,"['Jul 12, 1998', '2.03m', '140kg']",Stade Toulousain,27,2.03,140,9
48,Joel Merkler,No 4 Lock,"['Oct 25, 2001', '1.94m', '113kg']",Stade Toulousain,24,1.94,113,9
49,Ugo Mola,Head Coach,"['May 14, 1973', '1.83m', '85kg']",Stade Toulousain,52,1.83,85,9
50,Rodrigue Neti,Loosehead Prop,"['Apr 26, 1995', '1.85m', '124kg']",Stade Toulousain,30,1.85,124,9
51,Theo Ntamack,No. 8,"['May 29, 2002', '1.93m', '103kg']",Stade Toulousain,23,1.93,103,9
52,Romain Ntamack,Fly Half,"['May 1, 1999', '1.86m', '86kg']",Stade Toulousain,26,1.86,86,9
53,Alban Placines,Blindside Flanker,"['Apr 23, 1993', '1.89m', '110kg']",Stade Toulousain,32,1.89,110,9
54,Clement Poitrenaud,Assistant Coach,"['May 20, 1982', '1.88m', '90kg']",Stade Toulousain,43,1.88,90,9
55,Raphael Portat,No 5 Lock,"['Oct 25, 2003', '2.00m', '107kg']",Stade Toulousain,22,2.00,107,9
57,Thomas Ramos,Fullback,"['Jul 23, 1995', '1.78m', '87kg']",Stade Toulousain,30,1.78,87,9
58,Hugo Reilhes,Loosehead Prop,"['Jan 1, 2001', '1.80m', '108kg']",Stade Toulousain,24,1.80,108,9
60,Romain Riguet,Inside Centre,"['Apr 10, 2001', '1.84m', '82kg']",Stade Toulousain,24,1.84,82,9
61,Alexandre Roumat,No. 8,"['Jun 24, 1997', '1.98m', '105kg']",Stade Toulousain,28,1.98,105,9
62,Naoto Saito,Scrum Half,"['Aug 26, 1997', '1.65m', '73kg']",Stade Toulousain,28,1.65,73,9
63,Selevasio Tolofua,No. 8,"['May 31, 1997', '1.86m', '116kg']",Stade Toulousain,28,1.86,116,9
64,Clement Verge,Loosehead Prop,"['Sep 13, 2001', '2.00m', '116kg']",Stade Toulousain,24,2.00,116,9
66,Jack Willis,Openside Flanker,"['Dec 24, 1996', '1.90m', '107kg']",Stade Toulousain,29,1.90,107,9
