,RANK,CATEGORY,NAME,SEASON,STATS
0,1,Meilleurs réalisateurs,T.LARANJEIRA,2019-2020,176
1,2,Meilleurs réalisateurs,Anthony BELLEAU,2019-2020,171
2,3,Meilleurs réalisateurs,Antoine HASTOY,2019-2020,139
3,1,Meilleurs marqueurs d'essais,A.RETIERE,2019-2020,8
4,2,Meilleurs marqueurs d'essais,Thomas COMBEZOU,2019-2020,7
5,3,Meilleurs marqueurs d'essais,Kylan HAMDAOUI,2019-2020,7
6,1,Meilleurs marqueurs de drops,Z.HOLMES,2019-2020,1
7,2,Meilleurs marqueurs de drops,Léo BERDEU,2019-2020,1
8,3,Meilleurs marqueurs de drops,Jonathan WISNIEWSKI,2019-2020,1
9,1,Meilleurs taux de transformation,B.JAMES,2019-2020,"94,1"
10,2,Meilleurs taux de transformation,Morgan PARRA,2019-2020,"92,3"
11,3,Meilleurs taux de transformation,Benjamin URDAPILLETA,2019-2020,"92,3"
12,1,Plus de temps de jeu,B.CHOUZENOUX,2019-2020,1 276
13,2,Plus de temps de jeu,Swan REBBADJ,2019-2020,1 276
14,3,Plus de temps de jeu,Charlie NGATAI,2019-2020,1 267
15,1,Moyene de points par match la plus haute,T.LARANJEIRA,2019-2020,"11,7"
16,2,Moyene de points par match la plus haute,Anthony BELLEAU,2019-2020,"11,4"
17,3,Moyene de points par match la plus haute,Handre POLLARD,2019-2020,11
18,1,Nombre de cartons,J.TAULAGI,2019-2020,3
19,2,Nombre de cartons,Rory KOCKOTT,2019-2020,3
20,3,Nombre de cartons,Talalelei GRAY,2019-2020,3
21,1,Meilleurs réalisateurs,B.URDAPILLETA,2020-2021,321
22,2,Meilleurs réalisateurs,Joris SEGONDS,2020-2021,315
23,3,Meilleurs réalisateurs,Antoine HASTOY,2020-2021,282
24,1,Meilleurs marqueurs d'essais,J.TUISOVA,2020-2021,14
25,2,Meilleurs marqueurs d'essais,Matthis LEBEL,2020-2021,13
26,3,Meilleurs marqueurs d'essais,Filipo NAKOSI,2020-2021,12
27,1,Meilleurs marqueurs de drops,J.SEGONDS,2020-2021,4
28,2,Meilleurs marqueurs de drops,Jonathan WISNIEWSKI,2020-2021,4
29,3,Meilleurs marqueurs de drops,Jean-marcellin BUTTIN,2020-2021,1
30,1,Meilleurs taux de transformation,M.LAFAGE,2020-2021,100
31,2,Meilleurs taux de transformation,Morgan PARRA,2020-2021,"93,0"
32,3,Meilleurs taux de transformation,Louis FOURSANS BOURDETTE,2020-2021,"92,3"
33,1,Plus de temps de jeu,J.DUMORA,2020-2021,1 962
34,2,Plus de temps de jeu,Thomas COMBEZOU,2020-2021,1 886
35,3,Plus de temps de jeu,Benjamin URDAPILLETA,2020-2021,1 883
36,1,Moyene de points par match la plus haute,L.CARBONEL,2020-2021,"13,6"
37,2,Moyene de points par match la plus haute,Benjamin URDAPILLETA,2020-2021,"13,4"
38,3,Moyene de points par match la plus haute,Antoine HASTOY,2020-2021,"12,8"
39,1,Nombre de cartons,G.HABEL KUFFNER,2020-2021,6
40,2,Nombre de cartons,Duncan PAIA'AUA,2020-2021,4
41,3,Nombre de cartons,Alexandre ROUMAT,2020-2021,4
