,Saison,Equipe,historique,Points marqués,Essais marqués,Penalités marqués,Points encaissées,Essai encaissées,Pénalités encaisse,Matchs gagnés,Pourcentage victoire,Carton jaune,Carton rouge,ID_equipes
0,2019-2020,Union Bordeaux-Bègles,"['V', 'D', 'V', 'V', 'V']",475,53,38,317,4,0,13,76,12,1,6
0,2019-2020,LOU Rugby,"['V', 'V', 'D', 'V', 'D']",463,50,44,304,3,3,12,71,14,3,1
0,2019-2020,Racing 92,"['V', 'V', 'V', 'D', 'V']",451,51,40,326,0,0,9,53,11,0,10
0,2019-2020,RC Toulon,"['V', 'D', 'V', 'D', 'V']",396,37,49,334,2,2,9,53,12,2,2
0,2019-2020,Stade Rochelais,"['V', 'V', 'D', 'V', 'D']",370,38,40,377,7,2,9,53,9,2,11
0,2019-2020,ASM Clermont,"['D', 'V', 'V', 'D', 'V']",423,39,56,415,2,1,10,59,15,1,4
0,2019-2020,Stade Toulousain,"['D', 'V', 'D', 'V', 'D']",368,37,42,331,1,5,8,47,13,1,9
0,2019-2020,Montpellier Hérault Rugby,"['V', 'D', 'V', 'D', 'D']",404,42,42,390,1,4,6,35,9,2,8
0,2019-2020,Aviron Bayonnais,"['D', 'D', 'D', 'V', 'V']",327,27,50,409,1,1,7,41,8,3,5
0,2019-2020,Castres Olympique,"['D', 'D', 'V', 'V', 'D']",392,38,46,460,2,4,7,41,16,3,7
0,2019-2020,CA Brive,"['D', 'V', 'D', 'D', 'V']",364,32,48,439,2,2,7,41,7,2,12
0,2019-2020,Section Paloise,"['D', 'D', 'D', 'D', 'V']",334,31,43,414,0,5,6,35,12,2,3
0,2019-2020,SU Agen,"['D', 'V', 'D', 'V', 'D']",323,36,30,414,5,1,5,29,12,0,13
0,2019-2020,Stade Français Paris,"['V', 'D', 'V', 'D', 'D']",328,30,43,488,1,4,5,29,15,0,14
0,2020-2021,Stade Toulousain,"['D', 'V', 'V', 'V', 'V']",767,60,31,557,18,22,17,65,11,3,9
0,2020-2021,Stade Rochelais,"['V', 'V', 'D', 'V', 'D']",726,69,56,452,17,14,17,65,13,1,11
0,2020-2021,Racing 92,"['V', 'V', 'V', 'V', 'D']",757,65,50,577,16,18,17,65,14,1,10
0,2020-2021,Union Bordeaux-Bègles,"['V', 'D', 'D', 'V', 'D']",740,60,56,546,10,30,15,58,17,2,6
0,2020-2021,ASM Clermont,"['D', 'V', 'D', 'V', 'D']",830,31,50,619,22,18,15,58,19,1,4
0,2020-2021,Stade Français Paris,"['V', 'V', 'V', 'V', 'D']",701,52,54,622,19,18,15,58,21,5,14
0,2020-2021,Castres Olympique,"['V', 'V', 'D', 'V', 'V']",625,33,38,676,23,29,15,58,22,4,7
0,2020-2021,RC Toulon,"['V', 'D', 'D', 'V', 'D']",641,47,52,605,19,21,14,54,18,2,2
0,2020-2021,LOU Rugby,"['V', 'D', 'V', 'D', 'V']",678,60,48,568,19,21,14,54,25,0,1
0,2020-2021,Montpellier Hérault Rugby,"['V', 'D', 'D', 'V', 'D']",579,19,40,615,26,17,10,38,26,1,8
0,2020-2021,CA Brive,"['D', 'V', 'D', 'D', 'D']",585,32,35,711,20,17,11,42,22,3,12
0,2020-2021,Section Paloise,"['D', 'V', 'D', 'D', 'V']",688,42,41,752,29,26,9,35,26,3,3
0,2020-2021,Aviron Bayonnais,"['D', 'V', 'D', 'D', 'N']",565,31,54,796,25,21,10,38,32,1,5
0,2020-2021,SU Agen,"['D', 'D', 'D', 'D', 'D']",315,16,21,1101,61,4,0,0,25,4,13
0,2021-2022,Castres Olympique,"['V', 'V', 'V', 'V', 'D']",565,57,58,529,45,74,17,65,17,2,7
0,2021-2022,Montpellier Hérault Rugby,"['D', 'V', 'D', 'V', 'V']",619,57,74,503,49,60,15,58,13,3,8
0,2021-2022,Union Bordeaux-Bègles,"['D', 'V', 'D', 'V', 'D']",610,62,68,484,43,67,15,58,19,2,6
0,2021-2022,Stade Toulousain,"['V', 'V', 'V', 'V', 'D']",638,71,60,432,40,53,15,58,11,1,9
0,2021-2022,Stade Rochelais,"['V', 'D', 'V', 'V', 'D']",640,73,58,466,45,56,15,58,18,1,11
0,2021-2022,Racing 92,"['V', 'V', 'D', 'V', 'D']",661,70,65,568,57,68,16,62,13,0,10
0,2021-2022,ASM Clermont,"['V', 'D', 'V', 'V', 'V']",649,70,63,557,58,61,14,54,8,0,4
0,2021-2022,RC Toulon,"['V', 'V', 'V', 'V', 'D']",572,52,70,504,45,64,13,50,18,1,2
0,2021-2022,LOU Rugby,"['D', 'V', 'V', 'D', 'D']",637,67,66,558,53,70,13,50,15,1,1
